"CSIScontractID","Unmodifiedmultipleorsingleawardidc","LastSignedLastDateToOrder","LastUltimateCompletionDate","LastCurrentCompletionDate","SumOfnumberOfActions","SumofObligatedAmount","SumOfbaseandexercisedoptionsvalue","Sumofbaseandalloptionsvalue","StartFiscal_Year","maxoffiscal_year","IsIDV","idvpiid","piid","ContractLabelID","hyphenatedIDVpiid","CSISidvpiidID","IsPerformanceBasedLogistics","ContractingAgencyID","ContractingOfficeID","FundingAgencyID","FundingOfficeID","TypeOfContractPricing","systemequipmentcode","statutoryexceptiontofairopportunity","extentcompeted","IsCostBased","IsFixedPrice","IsIncentive","contractactiontype","ObligatedAmount","MinOfEffectiveDate","MaxOfEffectiveDate","ChangeOrderObligatedAmount","ChangeOrderBaseAndExercisedOptionsValue","ChangeOrderBaseAndAllOptionsValue","NewWorkObligatedAmount","NewWorkBaseAndExercisedOptionsValue","NewWorkBaseAndAllOptionsValue","SumOfUnmodifiedobligatedAmount","SumOfUnmodifiedbaseandexercisedoptionsvalue","SumOfUnmodifiedbaseandalloptionsvalue","IsClosed","IsModified","IsTerminated","SumOfisChangeOrder","MaxOfisChangeOrder","SumOfisNewWork","MaxOfisNewWork","UnmodifiedCurrentCompletionDate","UnmodifiedUltimateCompletionDate","UnmodifiedLastDateToOrder","MajorCommandID","simplearea","isAnyRnD1to5","obligatedAmountRnD1to5","firstSignedDateRnD1to5","UnmodifiedRnD1to5","Indefinite.Delivery.Contract","multipleorsingleawardidc","addmultipleorsingawardidc","AwardOrIDVcontractactiontype","UnmodifiedNumberOfOffersReceived","UnmodifiedIsFullAndOpen","UnmodifiedIsSomeCompetition","UnmodifiedIsOnlyOneSource","UnmodifiedIsFollowonToCompetedAction","Unmodifiedaddmultipleorsingawardidc","UnmodifiedAwardOrIDVcontractactiontype","NumberOfOffersReceived","IsFullAndOpen","IsSomeCompetition","ObligatedAmountIsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","MultipleOrSingleAwardIDC","AddMultipleOrSingleAwardIDC","AwardOrIDVcontractActionType"
18631082,"SINGLE AWARD",NA,"11/30/2009","11/30/2009",14,1451214274,1451214274,1451214274,2008,2010,1,"M6785407D5032","6",NA,NA,63335,NA,"1700","M67854",NA,NA,"","0","","A",NA,TRUE,NA,NA,1451214274,"00:00.0","00:00.0",13165001.51,16094407.76,16094407.76,345765830.7,342600174.4,342600174.4,1048495692,1048495692,1048495692,0,1,0,3,1,6,1,"00:00.0","00:00.0","","ORG-2943","Products",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",10,1,1,NA,NA,1,"Indefinite Delivery Contract","10","1","1","1449761957.4500","NULL","NULL","SINGLE AWARD","NULL","NULL"
25841356,"MULTIPLE AWARD",NA,"9/30/2013","9/30/2013",29,85676243.7,85676243.7,85676243.7,2013,2013,1,"HTC71113DCC02","47",NA,NA,211222,NA,"9776","HTC711",NA,NA,"J","0","FAIR","A",NA,TRUE,NA,NA,85676243.7,"00:00.0","00:00.0",0,0,0,-3607145.355,-3607145.355,-3607145.355,92952840,92952840,92952840,1,1,1,0,0,18,1,"00:00.0","00:00.0","","","Services",0,NA,NA,0,NA,"MULTIPLE AWARD",1,"Indefinite Delivery Contract",28,0,1,NA,NA,1,"Indefinite Delivery Contract","28","0","1","85599979.3163","NULL","NULL","MULTIPLE AWARD","NULL","NULL"
21464837,"SINGLE AWARD",NA,"8/24/2009","8/24/2009",1,4136,4136,4136,2009,2009,1,"SPM2DX08D1682","AF90",NA,NA,327433,NA,"97AS","SPM2DX",NA,NA,"J","0","","A",NA,TRUE,NA,NA,4136,"00:00.0","00:00.0",0,0,0,0,0,0,4136,4136,4136,0,0,0,0,0,0,0,"00:00.0","00:00.0","","ORG-2785","Products",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",4,1,1,NA,NA,1,"Indefinite Delivery Contract","4","1","1","4136.0000","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
18946905,"SINGLE AWARD",NA,"9/30/2012","9/30/2012",1,274629425,274629425,274629425,2012,2012,1,"N0038311D003F","2",NA,NA,36509,NA,"1700","N00383",NA,NA,"J","0","","C",NA,TRUE,NA,NA,274629425,"00:00.0","00:00.0",0,0,0,0,0,0,274629425,274629425,274629425,0,0,0,0,0,0,0,"00:00.0","00:00.0","","ORG-2937","Products",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",1,0,0,1,0,1,"Indefinite Delivery Contract","1","0","0","NULL","1","0","SINGLE AWARD","1","Indefinite Delivery Contract"
8098388,NA,NA,"4/30/2009","4/30/2009",289,8813018,8813018,8813018,2009,2009,0,"","W911S009PV004",NA,NA,23356,NA,"2100","W911S0",NA,NA,"J","0","","A",NA,TRUE,NA,NA,8813018,"00:00.0","00:00.0",0,0,0,0,0,0,8813018,8813018,8813018,0,0,0,0,0,0,0,"00:00.0","00:00.0","","ORG-2877","Products",0,NA,NA,0,NA,NA,0,"Purchase Order",NA,NA,NA,NA,NA,NA,NA,"1","1","1","8813018.0000","NULL","NULL","NULL","0","Purchase Order"
1421086,NA,NA,"6/1/2012","6/1/2012",10,12300479,13099472,14482075,2010,2012,0,"","FA865010C7036",NA,NA,23356,NA,"5700","FA8650",NA,NA,"U","0","","C",NA,FALSE,NA,NA,12300479,"00:00.0","00:00.0",0,0,0,0,0,0,1249400,13099472,14482075,0,1,0,0,0,0,0,"00:00.0","00:00.0","","ORG-2825","R&D",1,12300479,"00:00.0",1,NA,NA,0,"Definitive Contract",NA,NA,NA,NA,NA,NA,NA,"1","0","0","NULL","1","0","NULL","0","Definitive Contract"
9188302,"MULTIPLE AWARD",NA,"10/31/2010","10/31/2010",8,9664982.4,9664982.4,9664982.4,2010,2011,1,"DAAE2003D0085","61",NA,NA,191153,NA,"2100","",NA,NA,"J","0","FOO","A",NA,TRUE,NA,NA,9664982.4,"00:00.0","00:00.0",0,0,0,0,0,0,9664982.4,9664982.4,9664982.4,0,1,0,0,0,0,0,"00:00.0","00:00.0","","ORG-2877","Products",0,NA,NA,0,NA,"MULTIPLE AWARD",1,"Indefinite Delivery Contract",1,0,0,1,1,1,"Indefinite Delivery Contract","1","0","0","NULL","1","1","MULTIPLE AWARD","1","Indefinite Delivery Contract"
1407427,NA,NA,"9/13/2013","9/13/2013",3,4137847,4137847,4137847,2011,2013,0,"","FA855211C0008",NA,NA,23356,NA,"5700","FA8552",NA,NA,"J","0","","C",NA,TRUE,NA,NA,4137847,"00:00.0","00:00.0",0,0,0,0,0,0,4137847,4137847,4137847,1,1,1,0,0,0,0,"00:00.0","00:00.0","","ORG-2825","Products",0,NA,NA,0,NA,NA,0,"Definitive Contract",NA,NA,NA,NA,NA,NA,NA,"1","0","0","NULL","1","0","NULL","0","Definitive Contract"
24868084,"SINGLE AWARD",NA,"8/2/2008","8/2/2008",6,5141138.37,5141138.37,5141138.37,2007,2009,1,"W912P907D0503","1",NA,NA,113032,NA,"2100","W912P9",NA,NA,"J","0","","A",NA,TRUE,NA,NA,5141138.37,"00:00.0","00:00.0",28347.37,28347.37,28347.37,0,0,0,5112791,5112791,5112791,0,1,0,4,1,0,0,"00:00.0","00:00.0","","ORG-2872","Services",0,NA,NA,0,NA,"SINGLE AWARD",1,"Indefinite Delivery Contract",2,1,1,NA,NA,1,"Indefinite Delivery Contract","2","1","1","5141138.3700","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
1431353,NA,NA,"4/30/2013","4/30/2013",42,54678860.69,83038366,83038366,2008,2013,0,"","FA881408C0003",NA,NA,23356,NA,"5700","FA8814",NA,NA,"U","0","","C",NA,FALSE,NA,NA,54678860.69,"00:00.0","00:00.0",1291140,-183338,-183338,31250329,78865676,78865676,5600000,12200000,12200000,1,1,0,3,1,22,1,"00:00.0","00:00.0","","ORG-2834","R&D",1,54678860.69,"00:00.0",1,NA,NA,0,"Definitive Contract",NA,NA,NA,NA,NA,NA,NA,"1","0","0","NULL","1","0","NULL","0","Definitive Contract"
