"systemequipmentcode","CSIScontractID","SumOfnumberOfActions","SumofObligatedAmount","SumOfbaseandexercisedoptionsvalue","Sumofbaseandalloptionsvalue","StartFiscal_Year","maxoffiscal_year","IsIDV","idvpiid","piid","ContractLabelID","hyphenatedIDVpiid","CSISidvpiidID","IsPerformanceBasedLogistics","ContractingAgencyID","ContractingOfficeID","MajorCommandID","FundingAgencyID","FundingOfficeID","TypeOfContractPricing","systemequipmentcode2","statutoryexceptiontofairopportunity","extentcompeted","IsCostBased","IsFixedPrice","IsIncentive","contractactiontype","ObligatedAmount","MinOfEffectiveDate","MaxOfEffectiveDate","SumOfUnmodifiedobligatedAmount","SumOfUnmodifiedbaseandexercisedoptionsvalue","SumOfUnmodifiedbaseandalloptionsvalue","UnmodifiedNumberOfOffersReceived","IsClosed","IsModified","IsTerminated","SumOfisChangeOrder","MaxOfisChangeOrder","SumOfisNewWork","MaxOfisNewWork","LastSignedLastDateToOrder","LastUltimateCompletionDate","LastCurrentCompletionDate","ChangeOrderObligatedAmount","ChangeOrderBaseAndExercisedOptionsValue","ChangeOrderBaseAndAllOptionsValue","NewWorkObligatedAmount","NewWorkBaseAndExercisedOptionsValue","NewWorkBaseAndAllOptionsValue","IsFullAndOpen","IsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","numberofoffersreceived","multipleorsingleawardidc","AwardOrIDVcontractactiontype"
"180","3052733","1","15000","15000","15000","2007","2007","0","","N0016407P0719","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","15000","2007-02-26 00:00:00.0000000","2007-02-26 00:00:00.0000000","15000","15000","15000","1","0","0","0","0","0","0","0","NA","2007-03-26","2007-03-26","0","0","0","0","0","0",0,0,1,0,1,NA,"Purchase Order"
"515","16997346","1","11673","11673","11673","2008","2008","1","GS28F8014H","M6785408F0036","NA","","286349","","1700","M67854","NA","NA","NA","J","515","ONE","A","NA","True","NA","NA","11673","2008-06-05 00:00:00.0000000","2008-06-05 00:00:00.0000000","11673","11673","11673","1","0","0","0","0","0","0","0","NA","2008-08-21","2008-08-21","0","0","0","0","0","0",0,0,0,0,1,"MULTIPLE AWARD","Federal Supply Schedule"
"180","3057768","1","24990","24990","24990","2010","2010","0","","N0016410P0001","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","24990","2009-10-13 00:00:00.0000000","2009-10-13 00:00:00.0000000","24990","24990","24990","3","0","0","0","0","0","0","0","NA","2009-10-20","2009-10-20","0","0","0","0","0","0",1,1,NA,NA,3,NA,"Purchase Order"
"516","3480141","3","2878","2878","2878","2012","2012","0","","N6279312PA138","NA","","23356","","1700","N62793","NA","NA","NA","J","516","","F","NA","True","NA","NA","2878","2012-05-18 00:00:00.0000000","2012-06-19 00:00:00.0000000","2878","2878","2878","NA","0","1","0","0","0","0","0","NA","2012-06-07","2012-06-07","0","0","0","0","0","0",0,1,NA,NA,1,NA,"Purchase Order"
"180","3054791","2","24773","24773","24773","2008","2008","0","","N0016408P0393","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","B","NA","True","NA","NA","24773","2008-01-08 00:00:00.0000000","2008-06-06 00:00:00.0000000","500","500","500","NA","0","1","0","0","0","1","1","NA","2008-08-29","2008-08-29","0","0","0","24273","24273","24273",0,0,0,0,1,NA,"Purchase Order"
"180","3052564","1","24800","24800","24800","2007","2007","0","","N0016407P0539","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","24800","2007-01-26 00:00:00.0000000","2007-01-26 00:00:00.0000000","24800","24800","24800","1","0","0","0","0","0","0","0","NA","2007-04-20","2007-04-20","0","0","0","0","0","0",1,1,NA,NA,1,NA,"Purchase Order"
"198","2961738","4","123259481","211500209","211500209","2012","2013","0","","N0001912C0070","NA","","23356","","1700","N00019","NA","NA","NA","V","198","","B","NA","False","NA","NA","123259481","2012-01-31 00:00:00.0000000","2013-09-09 00:00:00.0000000","4678381","4678381","4678381","NA","0","1","0","0","0","3","1","NA","2016-05-13","2016-05-13","0","0","0","118581100","206821828","206821828",0,0,0,0,1,NA,"Definitive Contract"
"198","25855554","1","134923","134923","134923","2013","2013","1","N0001913D0005","0010","NA","","67571","","1700","N00019","NA","NA","NA","U","198","","C","NA","False","NA","NA","134923","2013-04-25 00:00:00.0000000","2013-04-25 00:00:00.0000000","134923","134923","134923","1","0","0","0","0","0","0","0","NA","2013-07-31","2013-07-31","0","0","0","0","0","0",0,0,1,0,1,"SINGLE AWARD","Indefinite Delivery Contract"
"516","18684122","2","6688","6688","6688","2008","2008","1","N0002405G4417","L116","NA","","427378","","1700","N62789","NA","NA","NA","","516","","C","NA","False","NA","NA","6688","2008-05-05 00:00:00.0000000","2008-09-19 00:00:00.0000000","7500","7500","7500","NA","0","1","0","1","1","0","0","NA","2008-05-10","2008-05-10","-812","-812","-812","0","0","0",0,0,1,0,1,"SINGLE AWARD","Indefinite Delivery Contract"
"198","17221499","2","4598","4598","4598","2007","2007","1","GS29F0177G","N0042107F0043","NA","","31216","","1700","N00421","NA","NA","NA","J","198","","A","NA","True","NA","NA","4598","2006-10-18 00:00:00.0000000","2006-12-21 00:00:00.0000000","4716","4716","4716","NA","0","1","0","0","0","0","0","NA","2007-01-20","2007-01-20","0","0","0","0","0","0",0,1,NA,NA,1,"MULTIPLE AWARD","Federal Supply Schedule"
